district,district_url,np,np_url,station,lat,lon,id_station,HubName,HubDist
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Шульгина,https://rp5.ru/Погода_в_Шульгине,Архив погоды в Заларях,53.55,102.51666666667,30606,30606,22143.2847752234
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Ангарск,https://rp5.ru/Погода_в_Ангарске,Архив погоды в Ангарске,52.533333333333,103.91666666667,30715,30715,3252.28396129074
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Звездочка,"https://rp5.ru/Погода_в_Звездочке,_Иркутская_область",Архив погоды в Ангарске,52.533333333333,103.91666666667,30715,30715,27417.0262361217
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Зверево,"https://rp5.ru/Погода_в_Зверево,_Иркутская_область",Архив погоды в Ангарске,52.533333333333,103.91666666667,30715,30715,15831.0658979455
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Зуй,"https://rp5.ru/Погода_в_Зуе,_Иркутская_область",Архив погоды в Ангарске,52.533333333333,103.91666666667,30715,30715,12677.7501009982
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Ивановка,"https://rp5.ru/Погода_в_Ивановке,_Иркутская_область",Архив погоды в Хайте Иркутской,52.55,103.05,30714,30714,28618.9481687728
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Ключевая,"https://rp5.ru/Погода_в_Ключевой,_Ангарский_район",Архив погоды в Ангарске,52.533333333333,103.91666666667,30715,30715,17173.7036105086
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Мегет,https://rp5.ru/Погода_в_Мегете,Архив погоды в Ангарске,52.533333333333,103.91666666667,30715,30715,15606.8380550454
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Новоодинск,https://rp5.ru/Погода_в_Новоодинске,Архив погоды в Ангарске,52.533333333333,103.91666666667,30715,30715,28236.3727309481
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Одинск,https://rp5.ru/Погода_в_Одинске,Архив погоды в Ангарске,52.533333333333,103.91666666667,30715,30715,15719.8002282649
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Савватеевка,https://rp5.ru/Погода_в_Савватеевке,Архив погоды в Ангарске,52.533333333333,103.91666666667,30715,30715,29155.9742690385
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Стеклянка,"https://rp5.ru/Погода_в_Стеклянке,_Иркутская_область",Архив погоды в Ангарске,52.533333333333,103.91666666667,30715,30715,15693.5330857029
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Ударник,"https://rp5.ru/Погода_в_Ударнике,_Иркутская_область",Архив погоды в Ангарске,52.533333333333,103.91666666667,30715,30715,15230.5187011945
Ангарский район,https://rp5.ru/Погода_в_Ангарском_районе,Чебогоры,https://rp5.ru/Погода_в_Чебогорах,Архив погоды в Ангарске,52.533333333333,103.91666666667,30715,30712,41819.7924360945
Балаганский район,https://rp5.ru/Погода_в_Балаганском_районе,Анучинск,https://rp5.ru/Погода_в_Анучинске,Архив погоды в Балаганске,54.016666666667,103.05,30612,30514,30885.6359616091
Балаганский район,https://rp5.ru/Погода_в_Балаганском_районе,Балаганск,https://rp5.ru/Погода_в_Балаганске,Архив погоды в Балаганске,54.016666666667,103.05,30612,30612,884.694082387255
Балаганский район,https://rp5.ru/Погода_в_Балаганском_районе,Бирит,https://rp5.ru/Погода_в_Бирите,Архив погоды в Балаганске,54.016666666667,103.05,30612,30514,12527.7315693824
Балаганский район,https://rp5.ru/Погода_в_Балаганском_районе,Заславская,https://rp5.ru/Погода_в_Заславской,Архив погоды в Усть-Уде,54.1667,103.017,30514,30514,6882.93517010658
Балаганский район,https://rp5.ru/Погода_в_Балаганском_районе,Коновалово,"https://rp5.ru/Погода_в_Коновалово,_Иркутская_область",Архив погоды в Балаганске,54.016666666667,103.05,30612,30612,3975.294959771
Балаганский район,https://rp5.ru/Погода_в_Балаганском_районе,Кумарейка,https://rp5.ru/Погода_в_Кумарейке,Архив погоды в Усть-Уде,54.1667,103.017,30514,30514,34894.7174870219
Балаганский район,https://rp5.ru/Погода_в_Балаганском_районе,Метляева,https://rp5.ru/Погода_в_Метляевой,Архив погоды в Усть-Уде,54.1667,103.017,30514,30514,11753.510309303
Балаганский район,https://rp5.ru/Погода_в_Балаганском_районе,Приморский,"https://rp5.ru/Погода_в_Приморском,_Балаганский_район",Архив погоды в Усть-Уде,54.1667,103.017,30514,30514,17570.5460775083
Балаганский район,https://rp5.ru/Погода_в_Балаганском_районе,Тарасовск,https://rp5.ru/Погода_в_Тарасовске,Архив погоды в Усть-Уде,54.1667,103.017,30514,30514,24053.8297450892
Балаганский район,https://rp5.ru/Погода_в_Балаганском_районе,Тарнополь,https://rp5.ru/Погода_в_Тарнополе,Архив погоды в Балаганске,54.016666666667,103.05,30612,30514,21136.696101959
Балаганский район,https://rp5.ru/Погода_в_Балаганском_районе,Ташлыкова,https://rp5.ru/Погода_в_Ташлыковой,Архив погоды в Балаганске,54.016666666667,103.05,30612,30612,14001.8087834754
Балаганский район,https://rp5.ru/Погода_в_Балаганском_районе,Шарагай,https://rp5.ru/Погода_в_Шарагае,Архив погоды в Усть-Уде,54.1667,103.017,30514,30514,18206.3788541136
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Бадагуй,https://rp5.ru/Погода_в_Бадагуе,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,14745.6812981038
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Байша,"https://rp5.ru/Погода_в_Байше,_Россия",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,35052.1529770055
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Бахай 2-й,https://rp5.ru/Погода_в_Бахае_2,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,13382.6326855705
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Баяндай,https://rp5.ru/Погода_в_Баяндае,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,1241.32442762148
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Бохолдой,https://rp5.ru/Погода_в_Бохолдое,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,9526.46338958479
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Васильевка,"https://rp5.ru/Погода_в_Васильевке,_Иркутская_область",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,16845.4140103973
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Вершининск,https://rp5.ru/Погода_в_Вершининске,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,17437.6333352482
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Духовщина,"https://rp5.ru/Погода_в_Духовщине,_Иркутская_область",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,35116.5867317911
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Еленинск,"https://rp5.ru/Погода_в_Еленинске,_Иркутская_область",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,15334.4916925508
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Загатуй,https://rp5.ru/Погода_в_Загатуе,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,22567.9039532299
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Зангут,https://rp5.ru/Погода_в_Зангуте,Архив погоды в Баяндае,53.066666666667,105.5,30627,,
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Идыгей,https://rp5.ru/Погода_в_Идыгее,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,16706.0086789125
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Кайзаран,https://rp5.ru/Погода_в_Кайзаране,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,42643.3354530203
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Каменка,"https://rp5.ru/Погода_в_Каменке,_Баяндаевский_район",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,11646.3580420031
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Кокорина,https://rp5.ru/Погода_в_Кокорине,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,23206.2340325442
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Лидинская,https://rp5.ru/Погода_в_Лидинской,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,21495.1576841132
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Люры,https://rp5.ru/Погода_в_Люрах,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,7460.74055718253
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Малан,https://rp5.ru/Погода_в_Малане,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,46910.5347170571
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Маралтуй,https://rp5.ru/Погода_в_Маралтуе,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,17444.1231815373
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Мильзан,https://rp5.ru/Погода_в_Мильзане,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,4355.33467587397
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Молой,https://rp5.ru/Погода_в_Молое,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,14252.2298206101
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Нагалык,https://rp5.ru/Погода_в_Нагалыке,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,13412.4886047104
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Нагатай,https://rp5.ru/Погода_в_Нагатае,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,48680.0504075122
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Наумовка,"https://rp5.ru/Погода_в_Наумовке,_Иркутская_область",Архив погоды в Усть-Ордынском,52.816666666667,104.76666666667,30713,30713,26915.3244362843
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Нуху-Нур,https://rp5.ru/Погода_в_Нуху-Нуре,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,14285.1933606808
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Ользоны,https://rp5.ru/Погода_в_Ользонах,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,23128.3557657036
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Онгой,"https://rp5.ru/Погода_в_Онгое,_Баяндаевский_район",Архив погоды в Баяндае,53.066666666667,105.5,30627,30713,31604.749495121
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Покровка,"https://rp5.ru/Погода_в_Покровке,_Баяндаевский_район",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,2699.54617867844
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Половинка,"https://rp5.ru/Погода_в_Половинке,_Иркутская_область",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,12527.6904200001
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Старый Хогот,https://rp5.ru/Погода_в_Старом_Хоготе,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,32099.0077050221
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Толстовка,"https://rp5.ru/Погода_в_Толстовке,_Иркутская_область",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,14698.0896818082
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Тургеневка,"https://rp5.ru/Погода_в_Тургеневке,_Иркутская_область",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,12105.4203918293
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Тухум,https://rp5.ru/Погода_в_Тухуме,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,42142.5850914887
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Тыпкысыр,https://rp5.ru/Погода_в_Тыпкысыре,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,8323.6413102261
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Улан,"https://rp5.ru/Погода_в_Улане,_Иркутская_область",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,24282.1022157852
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Хандабай,https://rp5.ru/Погода_в_Хандабае,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,27260.6719214856
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Хандагай,"https://rp5.ru/Погода_в_Хандагае,_Баяндаевский_район",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,26115.1175067693
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Харагун,"https://rp5.ru/Погода_в_Харагуне,_Баяндаевский_район",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,21710.1581022089
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Хатар-Хадай,https://rp5.ru/Погода_в_Хатар-Хадае,Архив погоды в Усть-Ордынском,52.816666666667,104.76666666667,30713,30627,30972.989277284
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Хиней,https://rp5.ru/Погода_в_Хинее,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,26624.9273482726
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Хогот,https://rp5.ru/Погода_в_Хоготе,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,31650.1215123614
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Шаманка,"https://rp5.ru/Погода_в_Шаманке,_Баяндаевский_район",Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,9422.51503291882
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Шехаргун,https://rp5.ru/Погода_в_Шехаргуне,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,4821.69811640031
Баяндаевский район,https://rp5.ru/Погода_в_Баяндаевском_районе,Шитхулун,https://rp5.ru/Погода_в_Шитхулуне,Архив погоды в Баяндае,53.066666666667,105.5,30627,30627,40895.4210437358
Бодайбинский район,https://rp5.ru/Погода_в_Бодайбинском_районе,Апрельск,https://rp5.ru/Погода_в_Апрельске,"Архив погоды в Светлом, Иркутская область",58.416666666667,116.01666666667,30165,30253,42145.1357903051
Бодайбинский район,https://rp5.ru/Погода_в_Бодайбинском_районе,Артемовский,"https://rp5.ru/Погода_в_Артемовском,_Иркутская_область","Архив погоды в Светлом, Иркутская область",58.416666666667,116.01666666667,30165,30253,46169.0725532462
Бодайбинский район,https://rp5.ru/Погода_в_Бодайбинском_районе,Балахнинский,https://rp5.ru/Погода_в_Балахнинском,Архив погоды в Бодайбо,57.8577,114.224,30253,30253,17221.0022814506
Бодайбинский район,https://rp5.ru/Погода_в_Бодайбинском_районе,Большой Патом,https://rp5.ru/Погода_в_Бол.Патоме,Архив погоды в Маче,59.9,117.58333333333,30074,30074,43020.8854637005
Бодайбинский район,https://rp5.ru/Погода_в_Бодайбинском_районе,Васильевский,"https://rp5.ru/Погода_в_Васильевском,_Бодайбинский_район",Архив погоды в Бодайбо,57.8577,114.224,30253,30253,32080.2798385679
Бодайбинский район,https://rp5.ru/Погода_в_Бодайбинском_районе,Кропоткин,"https://rp5.ru/Погода_в_Кропоткине,_Иркутская_область",Архив погоды в Улан-Маките,56.366666666667,114.63333333333,30356,30165,42835.8946117983
Бодайбинский район,https://rp5.ru/Погода_в_Бодайбинском_районе,Мамакан,https://rp5.ru/Погода_в_Мамакане,Архив погоды в Мамакане,57.816666666667,114.0,30252,30252,486.699190118136
Бодайбинский район,https://rp5.ru/Погода_в_Бодайбинском_районе,Маракан,https://rp5.ru/Погода_в_Маракане,"Архив погоды в Светлом, Иркутская область",58.416666666667,116.01666666667,30165,30253,96070.2091243745
Бодайбинский район,https://rp5.ru/Погода_в_Бодайбинском_районе,Перевоз,"https://rp5.ru/Погода_в_Перевозе,_Иркутская_область",Архив погоды в Перевозе,59.0,116.917,30069,30069,93.9691081887178
Бодайбинский район,https://rp5.ru/Погода_в_Бодайбинском_районе,Светлый,"https://rp5.ru/Погода_в_Светлом,_Иркутская_область","Архив погоды в Светлом, Иркутская область",58.416666666667,116.01666666667,30165,30165,3744.71998033345
Бодайбинский район,https://rp5.ru/Погода_в_Бодайбинском_районе,Хомолхо,https://rp5.ru/Погода_в_Хомолхо,Архив погоды в Перевозе,59.0,116.917,30069,,
Бодайбинский район,https://rp5.ru/Погода_в_Бодайбинском_районе,Чара,"https://rp5.ru/Погода_в_Чаре,_Иркутская_область",Архив погоды в Перевозе,59.0,116.917,30069,,
Боханский район,https://rp5.ru/Погода_в_Боханском_районе,Александровское,"https://rp5.ru/Погода_в_Александровском,_Иркутская_область",Архив погоды в Усолье-Сибирском,52.7833,103.633,30712,30712,13928.372854281
Боханский район,https://rp5.ru/Погода_в_Боханском_районе,Базой,"https://rp5.ru/Погода_в_Базое,_Иркутская_область",Архив погоды в Бохане,53.15,103.783,30618,30713,40876.5020041829
Боханский район,https://rp5.ru/Погода_в_Боханском_районе,Байханова,https://rp5.ru/Погода_в_Байхановой,Архив погоды в Бохане,53.15,103.783,30618,30618,22706.9109464961
Боханский район,https://rp5.ru/Погода_в_Боханском_районе,Бахан,https://rp5.ru/Погода_в_Бахане,"Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,,
Боханский район,https://rp5.ru/Погода_в_Боханском_районе,Бохан,https://rp5.ru/Погода_в_Бохане,Архив погоды в Бохане,53.15,103.783,30618,30618,240.5769757137
